date,title,content,URL
"25 Oct, 2019",George Soros says all his ‚Äòenemies‚Äô are wannabe dictators as he drops unprecedented wads of lobbying cash,"In the world of billionaire financier George Soros, his critics are would be dictators ù who will not succeed Meanwhile, under Trump, the Open Society founder has been pouring greater sums into lobbying than ever before I m very proud of the enemies I have, ù he told the New York Times in an interview published Friday, in which he confidently predicted the popular opposition to his globalist philosophy was winding down and that a backlash against Trump style nationalism was on the horizon It s a perfect way to tell a dictator or a would be dictator, if he identifies me as an enemy Soros slammed the US president as an aberration, ùpredicting what he has done in the Middle East ù clearing troops from the Turkish Syrian border, allowing peace to break out with a deal between Russia and Turkey will contribute to his demise next year ù Trump has called out Soros in the past, accusing him of paying the protesters who swarmed the Capitol over Justice Brett Kavanaugh s nomination to the Supreme Court and hinting that he was bankrolling the migrant caravans that swarmed the US southern border last year Soros is a popular villain among conservatives, who suspect that, after funding colorrevolution s in Serbia, Georgia, Ukraine, and elsewhere, he is trying to start one in the US The currency speculation that has made him enemies from Malaysia to Britain has also made him rich enough to contribute billions toward funding what are usually described as progressive causes ù through his Open Society Foundations And he is spending more than ever on those causes, dumping some $15 9 million to influence Congress in just the third quarter of 2019 via his foundation s lobbying division, the Open Society Policy Center, according to a recent filing It s a jump even over the group s 2018 expenditures, which, at $31 5 million, made it the third largest lobbying group that year Only the US Chamber of Commerce and the National Association of Realtors outspent the billionaire Aside from lobbying, Soros spreads his money around liberally in more ways than one He has funded media organizations like Democracy Now! and Media Matters, pro immigration groups like the National Immigration Law Center and the Migration Policy Institute, think tanks like the Aspen Institute and the Center for American Progress, fundraising organizations like MoveOn org that stages anti Trump protests, and interventionist policy groups like the Global Centre for the Responsibility to Protect He has already donated millions to the democraticparty for 2020 There are more Main Streets in America than there are Wall Streets, ù he said, calling Elizabeth Warren who wants to tax the wealthy heavily the most qualified person to be president Soros also has a mortal enemy China, † the nation that fought a winning battle against his currency speculating in 1998, so now he calls Xi Jinping s China the worst threat to an open society ù Given what has happened to the other societies Soros has poured money into, Xi might take that as a compliment ",https://www.rt.com/usa/471880-soros-enemies-dictators-lobbying-china/
"14 Oct, 2019",Media uproar as video depicting Trump massacring news orgs shown at conservative event,"US media is up in arms after reports that a video depicting Donald Trump massacring fake news agencies and his political rivals was shown at an event held at one of his resorts The video in question is a remake of a scene from the 2014 dark comedy Kingsman: The Secret Service where Trump s head is superimposed on the main character, played by Colin Firth It was aired at an event held by the conservative group American Priority at the Trump National Doral Miami last week The video was first posted online in 2018 The fake Trump is shown shooting, stabbing, and killing Democrats like Barack Obama, Hillary Clinton, Maxine Waters, and Nancy Pelosi, in addition to blasting multiple avatars representing various Trump critical news organizations such as CNN and MSNBC and even one fake George Soros The president s son Donald Trump Jr, former White House Press Secretary Sarah Sanders, and Florida Governor Ron DeSantis were reportedly all in attendance at the event, though they deny seeing any such church of fake news video while also taking the opportunity to oppose all forms ùof violence I was there to speak at a prayer breakfast, where I spoke about unity and bringing the country together, ùSanderstoldthe New York Times I wasn t aware of any video, nor do I support violence of any kind against anyone, ùshe added NBC, NPR, The Huffington Post, Politico, Vox, Vice News, The Hill, BuzzFeed News, among others were all on the receiving end of the fictitious brutality That video was not produced by the campaign, and we do not condone violence, ùspokesperson for Trump s re election campaign Tim Murtaugh said For its part, American Priority denounced what it described as an unsanctioned ùvideo #AMPFest19official statement on unauthorized video pic twitter com/w6zzhZ4Lje Content was submitted by third parties and was not associated with or endorsed by the conference in any official capacity, ùsaid the organizer, Alex Phillips The New York Times reported the news Sunday, claiming it was sent a cellphone video taken at the event by an attendee via a third party The collective outrage over the year old video then swept across social media The White House Correspondents Association issued a Twitter statement, saying it was horrified ùat the depiction of violence toward journalists WHCA Statement on video depicting President Trump murdering journalists pic twitter com/52lHFaQjU2 CNN described the video as vile and horrific ùand called on the Trump campaign to denounce it immediately and in the strongest terms ùwhile claiming that anything less would constitute a tacit endorsement of political violence CNN statement on video shown at@realDonaldTrumpsupporter conference at Trump s Miami resort last week:pic twitter com/BVKI5N5a17 Trump previously invoked the ire of the mainstream media after sharing similar memes depicting him beating up the fake news media ù #FraudNewsCNN#FNNpic twitter com/WYUnHjjUjg ",https://www.rt.com/usa/470888-trump-massacre-meme-video/
"30 Sep, 2019",Democratic establishment belatedly embraces ‚Äòwhistleblowers‚Äô‚Ä¶but only the ‚Äòsafe‚Äô kind,"MoveOn, a major advocacy group fine tuned to the needs of democraticparty , has finally found a whistleblower it can support the CIA agent whose complaint triggered an impeachment inquiry against US President Donald Trump MoveOn, which describes itself as the largest independent progressive advocacy group in the US, hailed the still anonymous whistleblower for taking on great personal risk to defend our democracy ùby revealing Trump s call with Ukraine that this person only knew of second hand The organization, sponsored by many Democratic donors including billionaire George Soros, implored its millions of members to have the whistleblower s back ùwith donations and petition signatures MoveOn has even partnered with Whistleblower Aid a group that steadfastly opposes the release of classified information, equating such leaks with criminality and thus foisted a warped definition of whistleblowing on its massive audience, one which permits only safe ùdisclosures unlikely to ruffle establishment feathers MoveOn s decision to support the Trump whistleblower is what one might expect from a progressive organization as determined as any to push the president out the door But MoveOn has conspicuously avoided supporting national security whistleblowers in the past, including individuals who paid dearly for coming forward Its sudden change of heart reeks of ulterior motives to those who have advocated for those whistleblowers for years A pro whistleblower organization might be expected to put out petitions in support of military intelligence analyst Chelsea Manning, who is back in jail over refusing to testify against Wikileaks founder Julian Assange despite having her sentence commuted by President Barack Obama or raise money to support former CIA agents John Kiriakou and James Sterling, who both spent time in prison for blowing the whistle In fact, journalist and activist Norman Solomon had actually suggested to MoveOn that they take up Sterling s case in December 2015, after the whistleblower was sentenced to prison, only to be brushed off The group had definitely done a lot of testing on [NSA whistleblower Edward] Snowden and Manning in the past, but unfortunately nothing quite reached the level of member support where we were able to send it out, ù read the letter he received from the organization Have they changed their mind, or merely decided that the CIA whistleblower embraced by the media establishment, the Democrats, and the grassroots #Resistance for the potential to bring down Trump is the only one worth supporting? Not only is the current whistleblower ùa politically popular cause, but there are hints of high level collusion in this case The rules for intelligence community whistleblowers were quietly changed to allow the inclusion of secondhand knowledge of wrongdoing, not long before the complaint was filed about Trump s call with Ukrainian President Volodymyr Zelensky a call the so far anonymous intelligence official did not personally witness MoveOn s sudden change of heart sends a message to actual whistleblowers: if you don t have friends in high places, the progressive ùcommunity wants nothing to do with you Ironically, MoveOn was created with a completely different purpose more than two decades ago Its founders drafted a petition, subsequently signed by hundreds of thousands of Americans, calling for the country to move on ù from the efforts to impeach President Bill Clinton in 1998, which Democrats painted as a vast right wing conspiracy ù ",https://www.rt.com/usa/469953-moveon-support-whistleblowers-hypocrisy-trump/
"1 Aug, 2019",Soros gifts $5.1 million check to Democrats as he enters 2020 funding game,"Billionaire financier George Soros has created a super PAC and written a $5 1 million check for Democrats ahead of next year s election However, the liberal mega donor has not revealed which candidate will get his blessing Sorosspentmore than $20 million during the 2016 election, donating more than $9 million to Political Action Committees (PACs) supporting Hillary Clinton, and the rest on committees working to install Democrats in Congress and to boost minority turnout at the polls According torecordsfiled with the Federal Election Commission on Wednesday, the 88 year old billionaire kicked his 2020 efforts off with a deposit of $5 1 million into his own Democracy PAC, more than doubling the $2 1 million he had donated at this point in the 2016 cycle Though no doubt spurred on by a desire to unseat President Donald Trump, Soros has not revealed who among the two dozen Democratic hopefuls his PAC will bestow its wealth on Speaking to the Washington Post last year, the Hungarian born investor said he would stay out of the party s primaries, as playing favorites would divide the democraticparty ù Well known for funding liberal causes around the world, Soros fingerprints can also be found on some of the world s most powerful think tanks, including some with less than peaceful aims Soros funds the neoconservative Center for American Progress and the Atlantic Council a pro intervention lobby propped up by a slew of arms manufacturers The Hungarian investor has also beenlinkedto the pro democracy ù European group Avaaz, which has advocated for no fly zones in Libya and agitated for regime change in Venezuela and Iran In his broader quest to advance the cause of his brand of liberalism around the world, Soros has alsofundedFacebook s third party fact checking partners, to filter forbidden news and views from the platform In Soros native Hungary, Viktor Orban s government has made the billionaire the face of its anti immigration policies, landing it introublewith the European Union Soros has openly called for increased immigration and refugee flows to Europe and castigated Orban s government for securing its border Soros is not the democraticparty s largest donor In recent years billionaire environmental activist Tom Steyer has been the party s largest bankroller However, Steyer entered the presidential race himself last month, and with former New York Mayor Michael Bloomberg yet to drop his promised $500 milliongiga donation, Soros remains the largest donor of the 2020 race so far Prior to Soros filing, hedge fund manager Donald Sussman was thelargestdonor of the 2020 cycle, as of April at least Sussman gave more than $865,300 to Democrats, followed by Dirk Ziff heir to his father William Bernard Ziff s publishing fortune who chipped in $689,200 The largest donation to the Republican party so far is a $618,500 sum given by † investment banker Warren Stephens Donation season has yet to begin in earnest, and cash will likely begin to flow into the 2020 race quicker after next month s debate in Houston, Texas In a bid to whittle down a crowded field, the Democratic National Committee has decided that only candidates polling at more than two percent with at least 130,000 unique donors will be allowed to participate Presently, only seven candidates have announced that they meet this requirement ",https://www.rt.com/usa/465601-soros-millions-democrat-funding/
"4 Jun, 2019",Euromaidan activist with neo-Nazi links joins Facebook as public policy manager,"A Ukrainian activist who rejoiced at the sight of 48 anti Maidan protesters burning to death in Odessa in 2014 has been hired by Facebook ostensibly to combat Russian disinformation Kateryna Kruk will be working out of Warsaw in her new role as Facebook s public policy manager for Ukraine While Kruk s immediate duties are not clear, the announcement was met with enthusiasm by her followers, hoping she wouldunleasha crackdown on Kremlin trolls † Kruk has an unequivocal anti Russian reputation, having written for several international publications and on Twitter Kruk shot to prominence at the height of the mass protests that preceded the 2014 armed coup in Kiev, becoming a spokesman for Euromaidan as she live tweeted in English from the first days of the two month protest As the movement was hijacked by right wing nationalists led by the Right Sector and the far right, borderline neo Nazi Svoboda party, the situation quickly spiraled into violence Around that time, Kruk worked as a †staffer for Svoboda,praisingthe party for being Ukrainian focused, ùwhile expressing some reservations about its hardline ultra nationalist ideology Kruk might have had some concerns about the party, whichembracedUkrainian nationalist leader and Nazi collaborator Stepan Bandera as a hero, but it did not deter her from gloating over the deaths of several dozen of her political opponents in Odessa s trade union building in May 2014, which was set on fire by football hooligans as police seemingly stood by watching The people whoburnedto death and suffocated inside the building were peacefully protesting the coup in the central city square before being attacked by the rowdy gangs READ MORE: †Who checks the fact checkers? Facebook leaves verification to groups funded by Soros, US Congress Odessa cleaned itself from terrorists, proud for city fighting for its identity Glory to fallen heroes, ùKruk tweeted at the time Here is Facebook s newest disinfo warrior cheering the 2014 Odessa fire î where nearly 50 Ukrainians were killed by fascist and far right activists ù î †as an action that cleaned ù the city of terrorists ù Yikes pic twitter com/xowHNYDDcY Since then, she has briefly served as a spokesperson for Ukraine s Ministry of Agriculture (2014) and the Ministry of Health (2017), and managed social media and international communication for the Ukrainian Parliament She was one of the leading analysts ùof Stopfake org, a site thatpurportsto track Russian media lies ùabout Ukraine Her controversial background and statements did not prevent her from beinggivena Freedom Award by the Atlantic Council in 2014 for her live tweeting skills White Helmets get Atlantic Council Freedom Award, following in the footsteps of Kateryna Kruk & the People of Maidanpic twitter com/reN8Po7GjM Facebook has previously come under fire for carrying out a crusade against misinformation with questionable means The certified fact checkers the company has cooperated with have beenrevealedto have links to the US government and democraticparty mega donor George Soros ",https://www.rt.com/news/461006-ukraine-facebook-odessa-fire/
"22 May, 2019",Is Soros-linked Avaaz group a credible source on fake news? Mainstream media seems to think so,"Mainstream news outlets have eagerly reported on a study by the Avaaz campaign group, claiming far right disinformation groups have been spreading fake news in the lead up to EU elections î but is the group all that it seems? The Avaaz network bills itself as social action group bringing people powered politics to decision making everywhere ùand it s lateststudyclaims that more than 500 suspicious groups and Facebook pages are operating across major EU countries and spreading election disinformation to boost far right and anti EU parties ahead of crucial parliamentary elections The disinformation networks, Avaaz claimed, are even more popular than the pages belonging to official right wing and anti establishment groups and parties î and that they have been engaged in everything from sharing white supremacist content to Holocaust denial Be like Captain Von Trapp reject the far right!#EUElections2019are next week EU voters can RT to say:#YesWeVoteMay 23 26!pic twitter com/8BT02XrD8P Outlets from the Washington Post in the US to the Guardian in the UK have reported on the study, which was released just days before Europeans go to the polls î but reading the reports gives a clear impression that Avaaz is a non partisan and independent group, when the reality is much different Avaaz is not simply studying these elections, it is actively campaigning While Avaaz claims it accepts no money from governments or corporations, it is tied to other social action groups Res Publica and Moveon org (which has been partly funded by left wing Hungarian American billionaire George Soros) î and its co founders, Ricken Patel and Tom Perriello, have a history of supporting a US imperialist agenda Patel has previously worked for the US State Department and Amnesty International, while Perriello is a former US congressman who voted in favor of continuing the wars in Afghanistan and Iraq Soros was also a major campaign contributor to Perriello Is this really the kind of political action group that should be cited by the media without proper context? Independent journalists have had suspicions about Avaaz s own activity for years, noting its strong pro establishment and globalist leanings, which have even translated into outward support for US regime change wars around the world When the group is notpushingfor no fly zones in LibyaandSyria, oragitatingfor regime change in Venezuela and Iran, it is actively supporting centrist, neoliberal political figures across the EU and US Patel told the EUobserver last year that the majority ùof people across Europe stand with ùGerman Chancellor Angela Merkel and has also activelysupportedFrench President Emmanuel Macron with online videos and petitions While Avaaz is seemingly very concerned with the plight of citizens in places like Venezuela and Iran (it was also activelyinvolvedin promoting Iran s Green Revolution in 2009), it appears to be less concerned with the lives of ordinary Europeans The group has targeted the anti Macron Yellow Vest movement in France and †framed the protesters easy targets for spreading fake news ù î and to put the icing on the cake, blamed the swift spread of this alleged fake news on Russia, another of Avaaz s favorite targets Indeed, unsurprisingly, media reporting on so called election meddling ahead of EU elections has taken on an anti Russia hue, with many suggesting that disinformation groups are simply copying Russian tactics from the 2016 US election, when the democraticparty claimed Russian disinformation campaigns were a major factor in Hillary Clinton s loss to Donald Trump î a claim for which there remains exactly zero evidence One of these reports on the alleged copycat tactics quotes Ben Nimmo, a former NATO press officer, cited with regularity by mainstream journalists as though he is an impartial source Like clockwork, Nimmo popped up ahead of the EU elections to claim that domestic actors ùacross Europe are now simply doing what the Russians had already been doing ù î because it s easier to blame Russia for social discord in Europe than failed leadership and unpopular policies Once again, it appears that many of the groups claiming to help people recognize fake news online are some of the biggest and sneakiest purveyors of disinformation themselves î and they are frequently promoted by mainstream news outlets î if they are selling the correct narrative, that is Mainstream media continue to quote the founders of cybersecurity firm New Knowledge as credible experts on Russian disinformation tactics, even after the firm wasexposedby the New York Times for having run its own disinformation campaign during a 2017 Alabama senate race The New Knowledge crowd set up fake Russian social media accounts to support one candidate and then worked to publicly brand him as Moscow s pick By not even mentioning Avaaz s own sketchy links, and very clear political leanings, Western news reports citing its studies as completely credible and independent are simply engaging in their own kind of disinformation ",https://www.rt.com/news/460010-avaaz-eu-elections-disinformation/
"20 May, 2019",'Reminds of Israeli political strategist Tal Silberstein' - Austrian Chancellor on tape scandal,"Following Austrian Vice Chancellor Heinz Christian Strache s resignation amid a corruption scandal, Chancellor Sebastian Kurz has hinted that Israeli political strategist Tal Silberstein may have orchestrated the debacle Strache resigned on Saturday, one day after a video surfaced in German outlets showing the vice chancellor discussing a quid pro quo agreement with a woman presented by the media as a niece of a Russian oligarch, filmed in Ibiza in 2017 Chancellor Sebastian Kurz quickly condemned Strache s alleged misdeeds, and called for snap elections However, both Strache who headed Austria s Freedom Party, the junior coalition partner to Kurz s Austrian People s Party and Kurz alleged dirty tricks were afoot Strache called the surreptitiously recorded tape a targeted political assassination, ùand Kurz compared the scandal to a dirty campaign ùwaged against him in 2017 by Austria s Social Democrats, via political adviser Tal Silberstein Speaking to German tabloid Bild on Sunday, Kurz again dropped Silberstein s name Concerning the methods, this strongly reminds me of Tal Silberstein, the campaign aide of the SP√ñ (Social Democrats) in 2017, ùKurz said He used similar methods all across the world ù Kurz s first run in with Silberstein occurred during Austria s general election two years ago Well on track to becoming Austria s youngest ever leader at the time, Kurz was hit with allegations that his supporters ran websites churning out racist content and conspiracy theories As well as the sites purporting to be from his supporters, another hit site called The Truth About Sebastian Kurz ùalleged that the center right leader was secretly working in the service of billionaire liberal financier George Soros Breaking two weeks before the country went to the polls, the scandal could have dealt damage to Kurz election bid, until it emerged that the websites were the work of Silberstein, paid 400,000 ($447,000) to mastermind then chancellor Christian Kern s re election bid Silberstein s work in Austria began in 2002, where he has repeatedly lent his expertise to the Social Democrats However, his operation is global Silberstein has advised former Israeli Prime Ministers Ehud Barak and Ehud Olmert, as well as Yulia Tymoshenko, the former Prime Minister of Ukraine Silberstein has also worked for a raft of Romanian politicians, and represented forestry company Schweighofer GmbH, accused of illegal logging in Eastern Europe The 2005 documentary Our Brand is Crisis which focused on the work of foreign political consultants in Bolivia s 2002 election featured an appearance from Silberstein In the documentary, the Israeli consultant is caught on camera telling candidate Gonzalo Sanchez de Lozada to start negative campaigns ùagainst his rival We have to make him from clean to a dirty candidate, that s our task, ùhe said Sanchez de Lozada went on to win the campaign, but fled to the US from genocide charges in 2003, after his military massacred 60 protesters that October Silberstein hit back at Kurz s implication on Monday, calling the allegations against him false and unfounded, ùand threatened legal action in response However, the veteran political consultant is no stranger to legal action himself, having been pursued in relation to a corruption case in Romania in 2017, andarrestedfor alleged involvement in a bribery scandal in his native Israel later that year Still, Silberstein remains active internationally Curiously, he popped up in Ukraine this week shortly after the President elect Volodymyr Zelensky was sworn in Local media reported that the notorious expert was there to consult the former President Petro Poroshenko, whose party reckons to win the upcoming parliamentary elections this year Regardless of Silberstein s alleged involvement in the Austrian video scandal, the fallout could be extremely damaging for Kurz and the European right, Vienna based political scientist Heinz Gaertner told RT No matter what the intention of this video was, it did damage to the Freedom Party, it did damage to the right wing parties in Europe and particularly in Austria as well, ùhe said Everyone in the party is distancing (themselves) from Strache Even in the right wing parties in Europe they say That is not what we want for our parties It will be a negative example for politicians for some time to come ù ",https://www.rt.com/news/459836-austria-kurz-silberstein-scandal/
"9 May, 2019","Danish right-wingers recruit controversial candidates, as country gets ready for elections","The rise of the right wing in Europe may be a tired cliche at this point However, a new Danish party has courted fresh controversy for hiring some distinctly un PC candidates, as the country goes to the polls next month Stram Kurs (Hard Line) will run for election for the first time in June The party pushes a combined message of small government libertarianism and ethnonationalist utilitarianism ùThe latter translates as a ban on Islam, an immediate withdrawal from refugee conventions, and the deportation of all asylum seekers and any non western persons ù The party also favors a crackdown on Danes who help alien enemies undermine Denmark, ùpresumably charities and NGOs Hungary s Viktor Orban spearheaded a similar crackdown with his Stop Soros Act last year Party leader Rasmus Paludan has drawn attention to himself with a number of high profile stunts, like leading protest marches through Muslim ghettos, burning copies of the Koran, and encouraging his followers to draw pictures of the prophet Mohammed Prime Minister Lars L√∏kke Ramussen has condemned Paludan s publicity stunts as meaningless provocations ù Although anti immigration and nationalist parties have gained ground in nearly 20 European countries since the beginning of the refugee crisis in 2015, no mainstream organizations have dared call themselves ethnonationalist ùPerhaps the closest mainstream analog to Stram Kurs is Dutch firebrand Geert Wilders Partij voor Vrijheid (Party for Freedom or PVV) Like Stram Kurs, the PVV s policies focus almost entirely on the de Islamization ùof the Netherlands, coupled with a smattering of small government and tax cutting initiatives Like Wilders, Paludan has faced legal consequences for his speech, having been handed a 14 day jail sentence in April for alleged racism towards a spokeswoman for the Black Lives Matter movement Unlike Stram Kurs, the PVV has been a viable opposition party in the Dutch parliament for over a decade, and is currently the second largest party in the Netherlands Stram Kurs, meanwhile, ispollingat just over two percent, beating only the country s Christian Democrats and businessman Klaus Risk√¶r Pedersen s self titled party Still, the party has punched above its weight when it comes to grabbing newspaper headlines On Wednesday, Paludan announced that 81 year old professor Helmuth Nyborg will stand for election with Stram Kurs Paludan said that Nyborg is an internationally highly respected researcher ùon IQ and cognitive ability Opponents say Nyborg s †opinions on racial IQ differences are abhorrent It goes without saying that if many people come to Denmark from countries where the inhabitants have a lower intelligence quotient, then over time we get a lower average intelligence quotient, ùhe told the Jyllands Posten newspaper in 2010 Modern Finnish research shows countries with an IQ averaging less than 90 fail to create or maintain democracy This explains why any attempt to bring democracy to countries with low IQ are doomed to failure We can learn from Libya, Afghanistan & Iraq writes Helmuth Nyborg Nyborg s views and scientific background lend weight to an argument Paludan has made since he entered politics in 2017 The average in IQ in Somalians is much lower than in us, ùPaludan told Ekstra Bladet last year It does not make them subordinates that on average they have poorer brains than Danes There is just a difference between races and there is no need to lie about it There are many from Africa who do not understand very much because their IQ is 80 ù Nyborg s views are controversial, and the professor is currently facing academic discipline for a 2013 paper setting out those views entitled The Decay of Western Civilization However, African and Middle Eastern countries have been ranked at thebottomof IQ tables, and some researchers have pinned thedifferenceon race and genetics, albeit under intense criticism How receptive is Denmark to an open ethnonationalist party that embraces controversial figures like Professor Nyborg? The answer is probably somewhat Unlike its uber liberal neighbor Sweden, Denmark has reacted to the influx of refugees and migrants with increasing hostility The coalition government made up of the center right Venstre and further right Danish People s Party has passed laws requiring refugees to hand over jewelry and valuables to finance their stay, banned the burqa in public, and planned to ship rejected asylum seekers to an uninhabited island in the Baltic sea If you are unwanted in Danish society, you should not be a nuisance to ordinary Danes, ù Immigration Minister Inger St√∏jberg stated when announcing the island plan They are undesirable in Denmark and they must feel it! ù St√∏jberg has been a key author of her government s anti immigration policies In March 2018, she marked the passing of her 50th anti immigration measure by celebrating with a cake decorated with fruit, the Danish flag, and the number 50 #DanishMinister for#Integration(!) Inger#St√∏jbergis celebrating her 50th tightening of#immigrationrules #classy#trumpingtrumppic twitter com/fD8sTRFUpU The government has also targeted settled immigrants, who it says often live in parallel societies ùLast July, as part of a series of measures aimed at eradicating immigrant ghettos, the government announced tougher criminal penalties, lower benefits, and mandatory integration classes for those living in these neighborhoods Despite the anti immigrant sentiment coming from the Danish government, voters are not so sure The center left Social Democrats are leading in the polls at 25 percent, compared to Venstre s 20 percent and the Danish People s Party s 11 6 percent The Social Democrats have begun to move further right on immigration, and as a result could have plenty of coalition forming opportunities open with the center and center right parties As long as Stram Kurs manage to capture more than two percent of the vote, the party looks set to enter parliament for the first time next month In the runup to the election, the newcomers could push the existing right wing even further right as nationalist party Vox did in Spain recently or siphon the hardline vote away from the Danish People s Party Such a fragmentation of the right was also seen in Spain last month, and ultimately helped left wing Prime Minister Pedro Sanchez party consolidate its power in parliament Meanwhile, Paludan and Stram Kurs continue to grab column inches The party also took on board as a candidate a prison guard who Paludan said can offer professional knowledge of the consequences of immigration ù As Paludan builds his anti immigration dream team, next month s elections will reveal whether the Danish electorate still wants to continue the country s rightward shift Asylum applications in Denmark dropped by 84 percent between 2015 and 2018, and without a cohort of immigrants to rail against, a return to centrism is not unlikely ",https://www.rt.com/news/458862-denmark-far-right-election/
"22 Apr, 2019","FBI accuses migrant-hunting militia leader of training to ‚ÄòASSASSINATE‚Äô Soros, Clinton & Obama","The leader of a militia group known for detaining migrants at the US border has been accused of plotting the assassination of former US President Barack Obama and other key democraticparty figures, the FBI said in court papers Militia leader Larry Hopkins, 69, was arrested on Saturday for a weapons charge said to be unrelated to his activities on the border But the FBI now says Hopkins bragged about his fellow militia members training to assassinate ùformer President Barack Obama, former Secretary of State and presidential candidate Hillary Clinton, and billionaire democraticparty donor George Soros READ MORE: Vigilantes or patriots? FBI arrests head of militia rounding up illegal migrants at US border During a 2017 FBI investigation into his militia ties, witnesses claimed Hopkins boasted of the assassination plot, according to the FBI s criminal complaint, filed Monday Hopkins group, the United Constitutional Patriots,claimsto have helped the US Border Patrol to detain over 5,600 immigrants in the previous two months The ACLU has condemned the group as a fascist militia ùand called its members vigilantes We cannot allow racist and armed vigilantes to kidnap and detain people seeking asylum, ùthe ACLU said in a letter to New Mexico Governor, Michelle Lujan Grisham and Attorney General Hector Balderas Hopkins appeared in court on Monday in Las Cruces, New Mexico, to face the gun charge His attorney, Kelly O Connell, said he planned to plead not guilty The militia s spokesman has meanwhile told local media that he s confident ùHopkins will get through this ùHe also claimed that the New Mexico AG, Hector Balderas, has declared war on American citizens at the order of the ACLU ùby pushing to prevent private citizens from assisting and documenting a crisis on the border ù ",https://www.rt.com/usa/457260-fbi-migrants-militia-assasinate-soros/
"16 Apr, 2019",Unfriended: Facebook under fire from media ‚Äòbaying for blood‚Äô,"Several negative stories about Facebook are filling the news vacuum after the Notre Dame fire, as the social media behemoth finds itself in the crosshairs of media and Democrats still seeking a scapegoat for the 2016 election In the early hours of Tuesday, NBC News published aspecial reportabout secret documents ùsupposedly revealing Facebook sinister shenanigans The story is based on 4,000 pages of documents leaked toOmidyar fundedBritish investigative journalist Duncan Campbell, who shared them with NBC and two other outlets Co authors Olivia Solon former Guardian scribe of everyone who questions White Helmets is a Russian agent ùfame and Cyrus Farivar say that the documents show Facebook CEO Mark Zuckerberg leveraged ùuser data to help friendly companies and harm competitors, and went as far as discussing the possibility of selling it They also describe Zuckerberg s Washington Post op ed in March as an attempt to curry favor with policymakers at a time when many are baying for the company s blood ù NBC has obtained thousands of pages of leaked internal documents show that Facebook wasn t just spitballing about selling access to user data the plans had buy in among Zuck, Sandberg and were pitched to the board of directorshttps://tdotco /NUb6kKt46e Among those who might be baying for blood ùis Wired magazine, which published its own Facebook feature about an hour following the NBC story Titled 15 Months of fresh hell inside Facebook ùand co authored by the magazine s editor in chief Nicholas Thompson, the article opens with George Soros s2018 denunciationof social media giants in Davos, going on to claim that the world had learned how Russian intelligence operatives used the platform to manipulate US voters ùwhile Genocidal monks in Myanmar and a despot in the Philippines had taken a liking to the platform ù CNN s Brian Stelter later shared a link to the story, along with a quote about how Facebook executives supposedly rejoiced at pain ùof news sites losing traffic on the platform According to multiple Facebook employees, a handful of executives considered it a small plus, too, that the news industry was feeling a little pain after all its negative coverage The pain being reduced traffic to news websites https://tdotco /obX39jQihH The day before, ABC carried a story about how the leading Democrat firebrand Rep Alexandria Ocasio Cortez (D New York) said she had stopped using Facebook because of health risks associated with social media like increased isolation, depression, anxiety, addiction, and escapism ùShe remains on Twitter and (Facebook owned) Instagram, however Ocasio Cortez s remarks, first made on a Yahoo News podcast on Sunday, got little traction on Monday, as the eyes of the world were on the burning Notre Dame Cathedral in Paris, so ABC tweeted out the story on Tuesday Rep Alexandria Ocasio Cortez says there are health risks associated with Facebook and that s why she s decided to stop using her accounthttps://tdotco /UhHcheUkHDpic twitter com/2aLibleeKZ Facebook has dismissed the documents NBC cited but did not publish, so it s impossible to independently verify Solon and Farivar s story as illegal leaks by app developer Six4Three, which is suing the Menlo Park behemoth over data policies that cut off their ability to access users bikini photos back in 2014 The NBC story features a prominent quote from Six4Three founder Ted Kramer, accusing Zuckerberg of wanting to weaponize the reliance of companies on his purportedly neutral platform and to weaponize the private and sensitive data of billions of people ù That Facebook treats user data as currency is not news, however Zuckerberg basically admitted to as much during a series of congressionalhearingsin April of last year, while artfully dodging follow up questions and capitalizing onlawmakers ignoranceof technology The platform sentire business modelis based on monetizing user data, and no amount of PR talk about focus on privacy ùwill obfuscate that Facebook, Twitter, and Google (which owns YouTube) have been on the defensive ever since the 2016 presidential election, with Democratsaccusing social mediaof somehow helping Donald Trump defeat Hillary Clinton in addition to chasing the Russiagate mirage, that is Trump s campaign has actuallysaid they used Facebookbetter than Clinton, but denied getting any special treatment from the social network giant Then came the March 2018 Cambridge Analytica scandal, when a company that sold consulting services to both the Brexit and Trump campaigns was accused of improperly harvesting Facebook user data In his testimonies, the CEO maintained that policy changes in 2014 15 were intended to forestall such a thing from happening again, whileapologizing profuselyto anyone who d listen To no avail Things were different just a few years ago, when Democrats regarded their political allies in Silicon Valley as an important tool in winning elections forever At the time of the Cambridge Analytica scandal, one campaign staffer for Barack Obama admitted that Facebook didn t blink when the Democrat s campaign was able to suck out ùuser data during the 2012 election According toCarol Davidsen, They came to office in the days following election recruiting & †were very candid that theyallowed us to do things they wouldn t have allowed someone else to do because they were on our side ù Fast forward to 2019, and Republicans are going after Facebookfor censorshipon the platform, while Democrats and their mainstream media allies arebludgeoningZuckerberg that Facebook isn tcensoriousenough All the talk about privacy and user data seems, how to put it, weaponized ùin the process Nebojsa Malic ",https://www.rt.com/news/456768-facebook-media-data-privacy/
