date,title,content,URL
"23 Dec, 2019",‚ÄòI'm more of a Jew than he is‚Äô: Giuliani takes on George Soros and his defenders with out-of-left-field jab,"Trump lawyer Rudy Giuliani tore into billionaire George Soros, insisting he controls central figures in the president s impeachment inquiry and that his leftist politics disqualify him from being Jewish The internet went wild Soros not only controls former US ambassador to Ukraine Marie Yovanovitch, Giuliani told New York magazine on Monday † he had installed all four ambassadors ù involved in the effort to impeach Trump Indeed, Giuliani continued, the notorious bank roller of colorrevolution s and liberal causes was employing the FBI agents, ù too After the reporter told him he sounded crazy ù talking about Soros, Giuliani apparently tried to preempt the usual criticism leveled at those who criticize the powerful philanthropist Don t tell me I m antisemitic if I oppose him, ù the president s personal lawyer warned Soros is hardly a Jew I m more of a Jew than Soros is I probably know more about he doesn t go to church, he doesn t go to religion synagogue He doesn t belong to a synagogue, he doesn t support Israel, he s an enemy of Israel He s elected eight anarchist DA s in the United States ù He s a horrible human being Giuliani s comments kicked off a firestorm on social media, with liberals attacking the antisemitic ù attorney and conservatives doubling down on Giuliani s criticisms of the shadowy speculator He †was just trying to cover up his antisemitism with the not a Jew ù comment, some suspected The not really Jews ù argument is also a permission slip to engage in anti semitism, since in their minds, It s not really anti semitism if the targets are not truly Jewish! (It is tho) Reminder: The Soros conspiracy theory that Rudy Giuliani aired in his latest interview is the same disinformation that ex senior National Security Council official Fiona Hill called the contemporary equivalent of The Protocols of the Elders of Zion ùhttps: // tdotco /U8iS7SY3UF though †they had different theories as towhy The Trumpers wants to appeal to both Nazis and Jews, hence the insistence of people like the presidents free lawyer that he s more of a jew than Soros is ùhttps: // tdotco /ej6pduVW59 Conservatives rolled their eyes at the attempt to defend Soros as a helpless victim Rudy is 100% right Soros spent his life funding projects dedicated to harming the Jewish people as Jews Rudy fought for us Go Gaslight at a Queer Jews for Palestine mixer https: // tdotco /b7ThmsSXwM George Soros admitted to being a Nazi collaborator & said he has no sense of guilt ù about it Wouldn t it be a shame if this went viral?pic twitter com/DiV2sv32vF If you want to paint George Soros as a latter day Anne Frank there is nothing I can do to dissuade youhttps: // tdotco /pVzavkOsL9 Others insisted the †Right, not the Left, was obsessed with smearing its enemies as anti Semites I predict the latest anti Semitic comments from inside of Trumpworld Giuliani saying he s more of a Jew than Soros, as Soros isn t really Jewish! will get 1 tenth of 1% of the coverage that Ilhan Omar s remarks about AIPAC (which didn t mention Jews at all, remember!) got And a handful merely took Giuliani s statements as a sign the former New York mayor had lost his mind The best defense of Giuliani on this is that he s been batshit insane for several years and not at all responsible for the words that emanate from his pie hole ù ",https://www.rt.com/usa/476704-soros-controls-everyone-giuliani-jewish/
"14 Dec, 2019",Taylor Swift calls out GEORGE SOROS for investing into her music ‚Äòwithout consent‚Äô,"In a one two combo, pop megastar Taylor Swift has attacked billionaire liberal financier George Soros and toxic male privilege ù in the music industry, claiming that Soros got his hands on her back catalog without her consent In a speech following her acceptance of the Billboard Woman of the Decade award on Thursday, Swift reignited her feud with investor Scooter Braun, who bought up Swift s original record label Big Machine Label Group in a $300 million deal earlier this summer After I was denied the chance to purchase my music outright, my entire catalog was sold to Scooter Braun s Ithaca Holdings in a deal that I m told was funded by the Soros family, 23 Capital and the Carlyle Group, ùSwift told the Los Angeles crowd Last night Taylor Swift revealed in her Billboard Woman of The Decade ù speech that billionaire Dem donor George Soros funded the deal to buy the rights to her music pic twitter com/RoHe8abHv6 This just happened to me without my approval, consultation or consent, ùshe said, blasting the unregulated world of private equity coming in and buying our music as if it s real estate, as if it s an app or a shoe line ù 23 Capital is a financing firm backed by Soros Fund Management Soros also invested $100 million in the Carlyle Group in 1993 Soros has funded a range of feminist and gender related causes around the world, but the acquisition of her back catalog without consulting her, Swift said, is the definition of toxic male privilege in our industry ù @taylorswift13do u realize that the party u follow (Dems) support the Soros globalist agenda? U not having the rights 2 your own music is just the tip of the iceberg I sure don t want my rights taken away from me by those w/a globalist agenda which Democrats & RINOs support Soros involvement in the multimillion dollar deal is unclear It is also unclear why Swift would go after a man held in such high regard by her liberal peers Soros funds Democratic politicians, judges, and district attorneys in the US, and bankrolls pro immigration and open borders causes in his native Europe Swift, after being hounded by critics for remaining apolitical, emerged as a full fledged liberal last year After Taylor Swift announced she will do everything in her power to see@realDonaldTrumpdoesnt get reelected, I wouldnt care if Soros took everything she had Learning thru your pocket book is the best lesson possiblehttps: // tdotco /v7zbNJIb8N Since endorsing two Democratic candidates in the 2018 midterms, Swift has attacked President Donald Trump for his supposed autocratic impulses, and vowed to do everything I can ùto stop him being re elected next year or maybe that s the reason she supporters those movements? Soros shares Swift s goals However, their shared political beliefs evidently mattered less once Swift realized that Soros apparently loves cold, hard cash more than he loves his ideological bedfellows ù ",https://www.rt.com/usa/475866-taylor-swift-george-soros/
"14 Oct, 2019",Media uproar as video depicting Trump massacring news orgs shown at conservative event,"US media is up in arms after reports that a video depicting Donald Trump massacring fake news agencies and his political rivals was shown at an event held at one of his resorts The video in question is a remake of a scene from the 2014 dark comedy Kingsman: The Secret Service where Trump s head is superimposed on the main character, played by Colin Firth It was aired at an event held by the conservative group American Priority at the Trump National Doral Miami last week The video was first posted online in 2018 The fake Trump is shown shooting, stabbing, and killing Democrats like Barack Obama, Hillary Clinton, Maxine Waters, and Nancy Pelosi, in addition to blasting multiple avatars representing various Trump critical news organizations such as CNN and MSNBC and even one fake George Soros The president s son Donald Trump Jr, former White House Press Secretary Sarah Sanders, and Florida Governor Ron DeSantis were reportedly all in attendance at the event, though they deny seeing any such church of fake news video while also taking the opportunity to oppose all forms ùof violence I was there to speak at a prayer breakfast, where I spoke about unity and bringing the country together, ùSanderstoldthe New York Times I wasn t aware of any video, nor do I support violence of any kind against anyone, ùshe added NBC, NPR, The Huffington Post, Politico, Vox, Vice News, The Hill, BuzzFeed News, among others were all on the receiving end of the fictitious brutality That video was not produced by the campaign, and we do not condone violence, ùspokesperson for Trump s re election campaign Tim Murtaugh said For its part, American Priority denounced what it described as an unsanctioned ùvideo #AMPFest19official statement on unauthorized video pic twitter com/w6zzhZ4Lje Content was submitted by third parties and was not associated with or endorsed by the conference in any official capacity, ùsaid the organizer, Alex Phillips The New York Times reported the news Sunday, claiming it was sent a cellphone video taken at the event by an attendee via a third party The collective outrage over the year old video then swept across social media The White House Correspondents Association issued a Twitter statement, saying it was horrified ùat the depiction of violence toward journalists WHCA Statement on video depicting President Trump murdering journalists pic twitter com/52lHFaQjU2 CNN described the video as vile and horrific ùand called on the Trump campaign to denounce it immediately and in the strongest terms ùwhile claiming that anything less would constitute a tacit endorsement of political violence CNN statement on video shown at@realDonaldTrumpsupporter conference at Trump s Miami resort last week:pic twitter com/BVKI5N5a17 Trump previously invoked the ire of the mainstream media after sharing similar memes depicting him beating up the fake news media ù #FraudNewsCNN#FNNpic twitter com/WYUnHjjUjg ù ",https://www.rt.com/usa/470888-trump-massacre-meme-video/
"7 Oct, 2019",PM Khan branded ‚ÄòJewish agent‚Äô after meeting Soros as Islamist leader declares ‚ÄòWAR‚Äô on govt,"The meeting between billionaire George Soros and Pakistani PM Imran Khan has apparently backfired for Khan, as the country s Islamists saw it as a proof ù of his ties with Jews and vowed to oust the government The war ùon Khan has been announced by the leader of the Islamist political party Jamiat Ulema e Islam Fazl (JUI F), Fazlur Rehman, who also leads an alliance of five right wing and hardline Islamist parties, known as Muttahida Majlis e Amal (MMA) Rehman announced a major protest, dubbed Freedom March, that will be held on October 27, warning the authorities against any attempts to disrupt it and assuring his supporters that the war ùwill go on until the government falls MMA, as well as other opposition parties have been repeatedly accusing Khan of rigging last year s general elections and urging him to step down The current government is the result of a fake election and fake results, ùRehman said during a press conference on Saturday While the alleged electoral fraud has been on the table for the opposition for quite some time, the last straw was a meeting between Khan and the founder Open Society Foundation, billionaire George Soros on the sidelines of the UNGA late in September The meeting prompted a veryangryreaction among Pakistani Islamists Rehman accused Khan of being a Jewish agent ùstriving to turn the country into a puppet of foreign players By meeting that infamous Jew, [Khan] has made it clear that [his government] doesn t want to bring reforms in religious education They want to make Pakistan s educational system subservient to the West, ùRehman stated The Soros Khan talks have sure come in handy for Rehman, as he has repeatedly accused Khan of having close ties to Jews as well as the US anddeclaredin 2013 that voting for him was ultimately haram ù(forbidden) for true Muslims When asked for proof back then, however, Rehman said his own word was enough, since such a righteous man as he is would never speak ill of anybody Such rhetoric has apparently fallen flat, as Khan secured a solid win during August 2018 elections His party holds 156 seats in parliament, while five MMA parties combined have only 16 seats, and center right conservative party the Pakistan Muslim League (Nawaz) has 84 seats So far, the exact details of the upcoming Freedom March protest have not been announced, yet media reports suggest it will be an all men event, with the women being banned from attending it altogether ù ",https://www.rt.com/news/470380-khan-soros-jewish-agent/
"25 Sep, 2019",God Save Our Queen: Elizabeth R dragged into the Brexit Imbroglio (by George Galloway),"Britain never had a Supreme Court in the way it never had a Constitution Yet somehow the political system seemed to work after a fashion, if in a typically British way was a member of the British Parliament for nearly 30 years He presents TV and radio shows (including on RT) He is a film maker, writer and a renowned orator †Follow him †on Twitter@georgegalloway was a member of the British Parliament for nearly 30 years He presents TV and radio shows (including on RT) He is a film maker, writer and a renowned orator †Follow him †on Twitter@georgegalloway When I was serving for nearly 30 years in the British Parliament, the Law Lords shared a rickety corridor and a single secretary high above the chamber of the House of Lords They were the final court of appeal, all of them members of parliament, albeit by appointment rather than election Before Tony Blair set up a separate Supreme Court (who else would be responsible for the distinctly un common law modernisation of a US style Supreme Court ), † the delicate balance between legislature, executive courts and Crown was something to behold A Heath Robinson Affair no doubt But it worked The seismic re writing of an un written constitution by 11 unelected unremovable justices over the prorogation of parliament effectively abolishes the Royal Prerogative exercised by British Prime Ministers for centuries It begins the unravelling of the notion that the PM and the Government represent the Queen in Parliament and on matters in which parliament itself does not preclude them, can exercise executive authority From now on, many, maybe most things, will be ultimately decided not in parliament by elected MPs but in courts by unelected judges Judicial Review just went nuclear This may be a good thing, it may be a bad thing, but it cannot be denied, that no parliament ever agreed to this un elective surgery Thus the constitution of the country has been radically re shaped without a vote being cast Adding insult to injury, the state itself will pay the costs of the case through legal aid The irony is that Boris Johnson s ill fated prorogation of parliament for around an extra week than would be normal at this time of the year and this stage of a parliament served him no purpose whatsoever and this would have been the case even if he had won the case If, as the Court decided, Johnson had set out to stymie (a Scottish Golfing term meaning to frustrate) well he plainly didn t succeed No sooner than he announced it the Benn Burt Bill passed through both Houses of Parliament in record quick time which trussed him up like a turkey, forcing him to abandon his No Deal Brexit negotiating strategy with the EU and to beg them for another three month extension of British membership for starters It is true that the prime minister set out to frustrate the ability of the parliament to stymie him But it is also true that the parliament itself has set out to frustrate the decision of the British people to leave the EU And not for a week but for three long years Although both sides made clear in the Brexit referendum that the people s decision would be final, then jointly triggered Article 50 which set the clock ticking towards exit, then jointly stood for election in 2017 in Theresa May s foolhardily unnecessary election promising to respect the result of the referendum, the narrow outcome of that election put Brexit in trouble from the beginning of this parliament It is a parliament overwhelmingly Remain at heart which gradually recovered its confidence to frustrate the electorate Its confidence was richly boosted by the support of the richest people in the land (indeed the world everyone from George Soros to the American banks have had their tuppence worth ), the deep state, the EU itself, the financial sector (virtually unanimously), international capital (as opposed to the much smaller national bourgeoisie ) and most of the printed media and all of the broadcast media A cacophony of clamour to stop Brexit by hook or by crook has steadily grown and the court case is merely a part of this No one can now predict where this goes The prime minister s efforts to force a new election to change the parliamentary arithmetic seems doomed to fail Thanks to the fixed term parliaments act two thirds of MPs have to vote for an early election The opposition cry simultaneously Tories Out and Tories In by virtue of their refusal to allow an election Ably assisted by the Speaker of the House the rebels are now in charge of the parliament and can, for now, do as they will They may force Johnson or a replacement non partisan prime minster to seek an extension which by the terms of the Benn Burt Bill can be at the pleasure of the EU as to its duration Or they may drunk on success seek to revoke Article 50 altogether and remove the clock thus effectively returning the whole matter to the status quo ante But the people of England have not spoken yet Wales voted for Brexit, Scotland did not But England voted overwhelmingly for Brexit The political class are counting on ennui wearing down the Brexit 17 4 million by the passage of time and literally years of scaremongering Project Fear My own experience in the Midlands and the North (I spend my weekends in one or the other) suggests that this whole series of betrayals has hardened resolve rather than weakened it My own feeling is that the electorate will exact a terrible vengeance on the politicians when the time finally comes to face them And that if they fail even then, Britain and British democracy will never be the same again And I don t mean that in a good way A terrible beauty may be born ",https://www.rt.com/op-ed/469574-boris-johnson-supreme-court-brexit/
"11 Sep, 2019","Cold War with China more important than US interests, Soros warns Trump in op-ed","Donald Trump wants to improve the US economy instead of shunning economic cooperation with China as part of a crusade for democracy, billionaire activist George Soros has complained in an op ed article The US president should be applauded for waging economic warfare against China, but he must not use restrictions placed on Huawei as a bargaining chip to cut a trade deal with Beijing, the Hungarian American businessman wrote in the opinion piece, published by The Wall Street Journal In it, the founder of the Open Society Foundations accuses Trump of seeking a trade deal with China as part of a cynical plot to bolster the US stock market and economy to improve his chances at re election ù Instead of concerning himself with the economy, Soros suggests that Trump should keep piling economic pressure on Beijing, in a bid to open ùChinese society to liberal reforms My interest in defeating Xi Jinping s China goes beyond US national interests, ùSoros admits, criticizing Trump for not sharing his worldview Soros work opening societies ùhas made him a figurehead for a global brand of open borders liberalism The EU has to accept at least a million asylum seekers annually for the foreseeable future, ùthe billionaire declared in 2015, at the height of the migrant crisis That rhetoric set him up for a clash with Europe s more nationalist leaders, like Hungary s Viktor Orban, who responded with a series of laws aimed at shoring up border security and at penalizing Soros operations in the country On China, Soros has long been a critic of Xi Jinping In January, he slammed Xi for investing in machine learning and artificial intelligence ù as alleged means of authoritarian control, and has slammed western tech firms for doing business in the country Soros warned in his most recent op ed that, if Chinese firms such as Huawei are allowed to compete in the global market, Beijing will be able to expand its systems of political control worldwide ù Though left unstated, this expansion of control would likely rub up against Soros softer approach, which involvesfundingliberal causes in 120 countries worldwide, some of them also aimed atcontrollingthe flow of information online According to Soros, winning a brewing global information war comes before the political interests of Donald Trump, and even before the US economy Whether Trump, or the US electorate, will agree, is another story entirely ù ",https://www.rt.com/news/468583-soros-china-trump-us-interests/
"1 Aug, 2019",Soros gifts $5.1 million check to Democrats as he enters 2020 funding game,"Billionaire financier George Soros has created a super PAC and written a $5 1 million check for Democrats ahead of next year s election However, the liberal mega donor has not revealed which candidate will get his blessing Sorosspentmore than $20 million during the 2016 election, donating more than $9 million to Political Action Committees (PACs) supporting Hillary Clinton, and the rest on committees working to install Democrats in Congress and to boost minority turnout at the polls According torecordsfiled with the Federal Election Commission on Wednesday, the 88 year old billionaire kicked his 2020 efforts off with a deposit of $5 1 million into his own Democracy PAC, more than doubling the $2 1 million he had donated at this point in the 2016 cycle Though no doubt spurred on by a desire to unseat President Donald Trump, Soros has not revealed who among the two dozen Democratic hopefuls his PAC will bestow its wealth on Speaking to the Washington Post last year, the Hungarian born investor said he would stay out of the party s primaries, as playing favorites would divide the Democratic Party ù Well known for funding liberal causes around the world, Soros fingerprints can also be found on some of the world s most powerful think tanks, including some with less than peaceful aims Soros funds the neoconservative Center for American Progress and the Atlantic Council a pro intervention lobby propped up by a slew of arms manufacturers The Hungarian investor has also beenlinkedto the pro democracy ù European group Avaaz, which has advocated for no fly zones in Libya and agitated for regime change in Venezuela and Iran In his broader quest to advance the cause of his brand of liberalism around the world, Soros has alsofundedFacebook s third party fact checking partners, to filter forbidden news and views from the platform In Soros native Hungary, Viktor Orban s government has made the billionaire the face of its anti immigration policies, landing it introublewith the European Union Soros has openly called for increased immigration and refugee flows to Europe and castigated Orban s government for securing its border Soros is not the Democratic Party s largest donor In recent years billionaire environmental activist Tom Steyer has been the party s largest bankroller However, Steyer entered the presidential race himself last month, and with former New York Mayor Michael Bloomberg yet to drop his promised $500 milliongiga donation, Soros remains the largest donor of the 2020 race so far Prior to Soros filing, hedge fund manager Donald Sussman was thelargestdonor of the 2020 cycle, as of April at least Sussman gave more than $865,300 to Democrats, followed by Dirk Ziff heir to his father William Bernard Ziff s publishing fortune who chipped in $689,200 The largest donation to the Republican party so far is a $618,500 sum given by † investment banker Warren Stephens Donation season has yet to begin in earnest, and cash will likely begin to flow into the 2020 race quicker after next month s debate in Houston, Texas In a bid to whittle down a crowded field, the Democratic National Committee has decided that only candidates polling at more than two percent with at least 130,000 unique donors will be allowed to participate Presently, only seven candidates have announced that they meet this requirement ù ",https://www.rt.com/usa/465601-soros-millions-democrat-funding/
"11 Jul, 2019","‚ÄòFake news less important than social media,‚Äô says Trump ahead of WH social media summit","In anticipation of the White House s social media summit, where online personalities will gather to discuss censorship on the web, President Donald Trump took to Twitter to put tech companies and the Fake News Media on blast The summit will host a number of social media stars, many of them in the pro Trump orbit, on Thursday afternoon, and will address the tremendous dishonesty, bias, discrimination and suppression ùpracticed by social media companies, according to the president We will not let them get away with it much longer, ùPresident Trump tweeted Thursday morning The Fake News Media will also be there, but for a limited period The Fake News is not as important, or as powerful, as Social Media They have lost tremendous credibility ù The president laterdeleted and revisedhis morning tweet storm While no guestlist has been published, some of the invitees are known, among them Twitter memesmith Carpe Donktum , prominent pro Trumper Bill Mitchell, right wing journalist Jim Hoft, as well as other conservative organizations such as Turning Point USA and PragerU Political cartoonist Ben Garrison was initially expected to attend, but his invitation was rescinded after critics in the media circulated acartoonhe drew depicting billionaire financier George Soros as a puppet master, which they said amounted to a blatantly anti semitic ùtrope Garrison said he agreed with the White House that his presence would be a distraction from the president s message ù The summit has its conservative detractors as well, however, who argue that the White House didn t invite anybody who was actually booted off a social media platform for their views Have any of the people who got invited to the social media summit actually been censored by social media? ùjournalist Paul Joseph Watson asked in atweet, adding My invite must have got lost in the post ù No social media executives were invited to the event Social media firms have come under increasing pressure since the 2016 presidential election to crack down on controversial voices and figures deemed hateful ùor trolls, ùbut the platforms efforts to control content has prompted calls of censorship Facebook has implemented a number of purges, ùscrubbing the platform of millions of accounts, including high profile conservative personas like Alex Jones, Milo Yiannopoulos and Laura Loomer Other platforms, like Twitter and YouTube, have followed suit, where perma bans are becoming increasingly common If you ù ",https://www.rt.com/usa/463934-trump-white-house-social-media-summit/
"5 Jul, 2019",Gangster mayors and oligarch‚Äôs dirty money: Will former criminals hold on to power in Ukraine?,"As Ukraine braces for an early parliamentary vote, its political elites are desperately looking for ways to forge alliances that would be of benefit in the new political environment Some deals, however, look shadier than others While Ukraine s major political parties led by former President Petro Poroshenko and former Prime Minister Yulia Tymoshenko are preparing to face off, as well as the newly formed party of current President Volodymyr Zelensky, in a parliamentary election, some political figures with a long criminal history also want a piece of the pie One of the leaders of the newlyformed Opposition Bloc who made it to the top of its election list, Gennady Trukhanov, appears to have a particularly gruesome criminal history behind him Since 2014, Trukhanov has been the mayor of Odessa Ukraine s largest port and the third most populous city He is a political veteran who has been building his career in Ukraine s upper echelons of power for about a decade and a half Yet, his fine appearance hides the fact that he was once a member of a notorious gang which was allegedly involved in smuggling arms and drugs According to a 2018 BBCreport, the gang, which came into being in the 1990s, was linked to some particularly gruesome murders Trukhanov, who is involved in martial arts and has been thepresidentof the Ukraine National Thai Boxing Federation of Muay Thai since 2003, trained members of the gang in hand to hand combat and sniper shooting with high precision weapons, ùthe BBC said, citing data from Italian police A reportcompiledby Italian law enforcement in the late 1990s names Trukhanov as one of the leaders of the gang who had extensive contacts with Ukrainian law enforcement He was also said to enjoy close ties with another gang leader a notorious crime lord called Aleksandr Angert, aka Sasha Angel Angert was sentenced to 15 years in prison for premeditated murder in 1980, but was released 10 years later as he was allegedly suffering from stomach cancer, which, however, apparently did not stop him from taking a leading role in another gang along with Trukhanov Later, Angert, one of Odessa s most influential crime lords, moved to London, where he has lived ever since and allegedly moved from crime to business, dissolving his gangs However, he reportedlyretainedhis close ties with his now business partner Trukhanov The criminal turned mayor, meanwhile, apparently did not wipe the slate clean after moving away from gang activities A 2016reportby the Organized Crime and Corruption Reporting Project (OCCRP), citing the Panama Papers, revealed that the mayor owns an entire business empire in Ukraine controlled through offshore firms registered in the British Virgin Islands, which is actively involved in embezzlement and money laundering Another Opposition Bloc leader who found his way to the top of the election list is Gennady Kernes, the longstanding mayor of Kharkov For about two decades, he has ruled over the nation s second most populous city (almost 1 5 million people), also a large industrial and science center He managed to retain his post through a range of political cataclysms, from the 2004 orangerevolution that brought Yushchenko to power, to the 2014 Maidan coup He has, however, a few skeletons in the closet According to an extensivereportpublished by an investigative media project called Criminal Ukraine , the now respectable mayor started his career in the 1990s as a fraudster, whose gang ran several shady schemes Eventually, they decided to expand ùtheir business ùand move from fraud to blackmail and extortion Kernes gang was even suspected of murder at one point, but those charges were apparently not proven Eventually, Kernes (nicknamed Gepa) was arrested, but only sentenced to three years in prison, and was set free two years later due to active repentance ùFollowing his release, the future mayor turned to privatization and managed to obtain quite a number of assets in Kharkov, including factories and real estate, through shady schemes, eventually emerging as a wealthy businessman ù Later, he allegedly used his influence to exert pressure on his political rivals and to gag journalists who dared to mention his criminal past in their reports Kharkov Region is located right next to the tumultuous Eastern Ukrainian regions, parts of which refused to recognize Kiev s authority following the 2014 Maidan coup and declared themselves the Donetsk and Lugansk People s Republics (DPR and LPR) As Kiev still struggles to regain control over the rebellious Donbass republics, having people like Kernes and Trukhanov at the helm of the regional governments will hardly give it much legitimacy in the eyes of the people there Other Ukrainian media reports suggest that Kernes enjoys close ties to controversial Ukrainian billionaire Igor Kolomoisky, who is suspected by some of being the real puppet master behind Zelensky s recent landslide victory in the presidential election KernesvisitedKolomoisky in Israel ahead of the presidential runoff, according to one such report The billionaire dismissed the idea of any hidden agenda ùbehind the trip, telling the media that Kernes went to Israel for medical reasons ùand met him by coincidence Kolomoisky, an oligarch who made a fortune during the privatization frenzy in the years after the collapse of the Soviet Union, might yet turn out to be the one pulling the strings in the newly formed political bloc A sort of Ukrainian George Soros, Kolomoisky gained a reputation of being a shadowy figure seeking to influence politics Unlike Soros, he does not seem to have any particular ideological preference Instead, he apparently tries to place his millions on the winning horse Over the last decade and a half, he has supported the orangerevolution , former President Viktor Yushchenko, and then Prime Minister Yulia Tymoshenko He attained particular infamy in the wake of the Maidan coup, when he created his own paramilitary force bysponsoringanti Russia battalions Kolomoisky initially financed the notorious ultranationalist Azov Battalion for months in 2014 He is now reportedly one of the major backers of the Opposition Bloc He does not really hide this fact either In May, headmittedhe was consulting ùthe party created by Trukhanov and Kernes, which he called an All Ukrainian project ùHe also held talks with a leader of another party that eventually joined the bloc We have common issues The commercial and political ones, ùhe told Ukrainian Pravda back then, adding that some unsuccessful projects need a reboot ùThe billionaire specifically mentioned aligning ùforces and creating a broader ùagenda as a recipe for moving forward Kernes then rushed todownplaythe oligarch s influence on his party by saying that he neither financed nor consulted ùthe party, while calling his contacts with Kolomoisky a private matter ù As Zelensky s presidential victory clearly shows that Ukrainians have grown tired of the old political ways, tainted by corrupt elites linked to organized crime, he has apparently embraced the idea of rebranding and renewal at least on the surface Whether the dark past will still loom over the bright future they claim to offer remains to be seen ù ",https://www.rt.com/news/463480-ukraine-criminals-political-power-retain/
"24 May, 2019",West-backed think tanks threaten new Ukrainian president with disturbing list of ‚ÄòRED LINES‚Äô,"When President Volodymyr Zelensky won a landslide victory in the free and undisputed April elections, most accepted that he was given a fairly strong mandate to lead Ukraine But it seems not everyone is so democratically minded Particularly unmoved by the democratic process are a collection of Ukrainian civilsociety groups, who have just issued alengthy listof red lines not to be crossed ùby the new president, lest he risk provoking a new wave of political instability that they would presumably instigate Issuing their catalog of demands on Thursday, the groups claim to be politically neutral ùbut deeply concerned ùabout the first actions taken by the comedian turned politician Zelensky, including his decision to appoint members of former President Viktor Yanukovych s government to positions within his own government Various civilsociety groups in#Ukrainehave issued a list of red lines that they don t want president@ZelenskyyUato cross, saying there ll be unrest if he does It s the longest list of red lines I ve ever seen Twittosphere, what do you make of it?https: // tdotco /jgHAIIAciS A scan of the undersigned reveals that many of these civilsociety groups ùare anything but politically neutral In fact, quite a few of them are partly funded by the US government, various EU governments (including the UK), the European Commission itself and, of course, the omnipresent liberal billionaire George Soros The list includes the notorious Euromaidan Press, Stop Fake and Ukrainian Crisis Media Center, to name just a few In their heyday, many of these groups acted as propaganda tools of the Western backed government of Petro Poroshenko, rather than the watchdogs they claim to be They now confirm that a pesky election isn t going to stand in the way of their agenda, reaffirming that their own principles and positions ùon issues remain unchanged and warning: Should [Zelensky] cross these red lines, such actions will inevitably lead to political instability in our country This statement, which precedes the wide ranging list of red lines, reads like a threat: Do what we say, or there will be trouble Isn t that a strange, almost dictatorial approach for groups purporting to be interested in democracy, freedom, and dignity ù?Did we all miss the part where a group of think tanks were collectively elected president of Ukraine? This list of demands by western funded Ukraine NGOs îthreatening to overthrow Zelenskiy if he doesn t follow their demands îperfect example of Arundhati Roy s critique of civilsociety as an elite construct designed to subvert & control popular democracyhttps: // tdotco /j33iGoSqOA Of course, these groups do indeed represent various factions of Ukrainian society and many of them no doubt have worthy aims, and they should continue their work unimpeded But they do not represent all of Ukrainian society and they certainly do not have the authority to set the political agenda and lay down the law to the incoming government and that, quite literally, is what they are trying to do It s such a gobsmackingly odd list of demands that even Western journalists who had a broadly friendly relationship with the Poroshenko government are aghast at their audacity The list is broken down into issues of security, foreign policy, economy, national identity (language, education and culture), media and government functioning On security, the groups want to forbid Zelensky from achieving compromise with Russia in any manner that would be to the detriment of the national interest, presumably as defined by themselves Inhibiting the implementation of security and defense policies outlined in a 2016 decree signed by Poroshenko is also forbidden, they say do these cronies not know how democracy works, or just not care? Three quarters of the country voted against their agenda they don t get to continue setting it like the election never happened In the foreign policy realm, these audacious activists warn that democratically elected Zelensky may not initiate any actions that could lead to the reduction or lifting of sanctions on Russia by Western powers He may not take any action delaying, sabotaging, or rejecting the course for EU and NATO membership for Ukraine Where the economy is concerned, he may not implement any policy that goes against existing agreements with the IMF and other foreign partners It s on the national identity front that things get really sketchy, though The groups would like to forbid any attempt whatsoever to even review ù multiple controversial laws signed by Poroshenko, including an anti Russia language law (which effectively alienates the 30 percent of Ukrainians who speak Russian as their native tongue) and laws on contentious de communization ù which banned Soviet symbols in the country Ironically, this push for de communization coincided with a renewed glorification of Nazism that went almost unnoticed by Western media and officials, who have supported Poroshenko s virulently anti Russian government as it implemented laws better suited to George Orwell s 1984 than a modern democracy The NGOs ùinsist that Zelensky may not implement any action to support the Russian Orthodox Church in Ukraine, another red line among their national identity demands Remember when Russian television channels and social networks like VKontakte were banned in Ukraine simply for the crime of being Russian? Well, Zelensky will also be in big trouble if he tries to restore them, the civilsociety groups ùsay READ MORE: Reality bites: Ukraine s President Zelensky puts showbiz pals in positions of real power The most vague red line of all comes near the end of the list, when the new president is warned against ignoring dialogue with civilsociety ù a command so vague that almost anything ùZelensky does going forward could be interpreted as ignoring their wishes, France 24 correspondent Gulliver Cragg wrote on Twitter BBC correspondent Jonah Fisher tweeted that the groups themselves may have crossed a red line †the red line of what civilsociety groups can legitimately demand of a freshly elected government I feel like almost anything he does could be interpreted as crossing one or other of those lines, they re so wide ranging It reads like a manifesto there s an election in 2 months Make a party see if anyone agrees with you that s democracy Zelensky was elected to office with 73 percent of the vote and let s not forget, he won that election having campaigned against many of the policies these civilsociety groups are aggressively demanding be kept in place He has been in office only a matter of days, and these Western backed groups are threatening to instigate political unrest should he take any action that they don t find acceptable to their political agenda So who, exactly, poses the real threat to democracy? Danielle Ryan Danielle Ryan is an Irish freelance writer based in Dublin Follow her on Twitter@DanielleRyanJ ù ",https://www.rt.com/news/460210-ukraine-ngos-zelensky-red-lines/
