date,title,content,URL
"14 Dec, 2019",Taylor Swift calls out GEORGE SOROS for investing into her music without consent ,"In a one two combo, pop megastar Taylor Swift has attacked billionaire liberal financier George Soros and toxic male privilege ù in the music industry, claiming that Soros got his hands on her back catalog without her consent In a speech following her acceptance of the Billboard Woman of the Decade award on Thursday, Swift reignited her feud with investor Scooter Braun, who bought up Swift s original record label Big Machine Label Group in a $300 million deal earlier this summer After I was denied the chance to purchase my music outright, my entire catalog was sold to Scooter Braun s Ithaca Holdings in a deal that I m told was funded by the Soros family, 23 Capital and the Carlyle Group, ùSwift told the Los Angeles crowd Last night Taylor Swift revealed in her Billboard Woman of The Decade ù speech that billionaire Dem donor George Soros funded the deal to buy the rights to her music pic twitter com/RoHe8abHv6 This just happened to me without my approval, consultation or consent, ùshe said, blasting the unregulated world of private equity coming in and buying our music as if it s real estate, as if it s an app or a shoe line ù 23 Capital is a financing firm backed by Soros Fund Management Soros also invested $100 million in the Carlyle Group in 1993 Soros has funded a range of feminist and gender related causes around the world, but the acquisition of her back catalog without consulting her, Swift said, is the definition of toxic male privilege in our industry ù @taylorswift13do u realize that the party u follow (Dems) support the Soros globalist agenda? U not having the rights 2 your own music is just the tip of the iceberg I sure don t want my rights taken away from me by those w/a globalist agenda which Democrats & RINOs support Soros involvement in the multimillion dollar deal is unclear It is also unclear why Swift would go after a man held in such high regard by her liberal peers Soros funds Democratic politicians, judges, and district attorneys in the US, and bankrolls pro immigration and open borders causes in his native Europe Swift, after being hounded by critics for remaining apolitical, emerged as a full fledged liberal last year After Taylor Swift announced she will do everything in her power to see@realDonaldTrumpdoesnt get reelected, I wouldnt care if Soros took everything she had Learning thru your pocket book is the best lesson possiblehttps: // tdotco /v7zbNJIb8N Since endorsing two Democratic candidates in the 2018 midterms, Swift has attacked President Donald Trump for his supposed autocratic impulses, and vowed to do everything I can ùto stop him being re elected next year or maybe that s the reason she supporters those movements? Soros shares Swift s goals However, their shared political beliefs evidently mattered less once Swift realized that Soros apparently loves cold, hard cash more than he loves his ideological bedfellows ù, ",https://www.rt.com/usa/475866-taylor-swift-george-soros/
"25 Sep, 2019",God Save Our Queen: Elizabeth R dragged into the Brexit Imbroglio (by George Galloway),"Britain never had a Supreme Court in the way it never had a Constitution Yet somehow the political system seemed to work after a fashion, if in a typically British way was a member of the British Parliament for nearly 30 years He presents TV and radio shows (including on RT) He is a film maker, writer and a renowned orator †Follow him †on Twitter@georgegalloway was a member of the British Parliament for nearly 30 years He presents TV and radio shows (including on RT) He is a film maker, writer and a renowned orator †Follow him †on Twitter@georgegalloway When I was serving for nearly 30 years in the British Parliament, the Law Lords shared a rickety corridor and a single secretary high above the chamber of the House of Lords They were the final court of appeal, all of them members of parliament, albeit by appointment rather than election Before Tony Blair set up a separate Supreme Court (who else would be responsible for the distinctly un common law modernisation of a US style Supreme Court ), † the delicate balance between legislature, executive courts and Crown was something to behold A Heath Robinson Affair no doubt But it worked The seismic re writing of an un written constitution by 11 unelected unremovable justices over the prorogation of parliament effectively abolishes the Royal Prerogative exercised by British Prime Ministers for centuries It begins the unravelling of the notion that the PM and the Government represent the Queen in Parliament and on matters in which parliament itself does not preclude them, can exercise executive authority From now on, many, maybe most things, will be ultimately decided not in parliament by elected MPs but in courts by unelected judges Judicial Review just went nuclear This may be a good thing, it may be a bad thing, but it cannot be denied, that no parliament ever agreed to this un elective surgery Thus the constitution of the country has been radically re shaped without a vote being cast Adding insult to injury, the state itself will pay the costs of the case through legal aid The irony is that Boris Johnson s ill fated prorogation of parliament for around an extra week than would be normal at this time of the year and this stage of a parliament served him no purpose whatsoever and this would have been the case even if he had won the case If, as the Court decided, Johnson had set out to stymie (a Scottish Golfing term meaning to frustrate) well he plainly didn t succeed No sooner than he announced it the Benn Burt Bill passed through both Houses of Parliament in record quick time which trussed him up like a turkey, forcing him to abandon his No Deal Brexit negotiating strategy with the EU and to beg them for another three month extension of British membership for starters It is true that the prime minister set out to frustrate the ability of the parliament to stymie him But it is also true that the parliament itself has set out to frustrate the decision of the British people to leave the EU And not for a week but for three long years Although both sides made clear in the Brexit referendum that the people s decision would be final, then jointly triggered Article 50 which set the clock ticking towards exit, then jointly stood for election in 2017 in Theresa May s foolhardily unnecessary election promising to respect the result of the referendum, the narrow outcome of that election put Brexit in trouble from the beginning of this parliament It is a parliament overwhelmingly Remain at heart which gradually recovered its confidence to frustrate the electorate Its confidence was richly boosted by the support of the richest people in the land (indeed the world everyone from George Soros to the American banks have had their tuppence worth ), the deep state, the EU itself, the financial sector (virtually unanimously), international capital (as opposed to the much smaller national bourgeoisie ) and most of the printed media and all of the broadcast media A cacophony of clamour to stop Brexit by hook or by crook has steadily grown and the court case is merely a part of this No one can now predict where this goes The prime minister s efforts to force a new election to change the parliamentary arithmetic seems doomed to fail Thanks to the fixed term parliaments act two thirds of MPs have to vote for an early election The opposition cry simultaneously Tories Out and Tories In by virtue of their refusal to allow an election Ably assisted by the Speaker of the House the rebels are now in charge of the parliament and can, for now, do as they will They may force Johnson or a replacement non partisan prime minster to seek an extension which by the terms of the Benn Burt Bill can be at the pleasure of the EU as to its duration Or they may drunk on success seek to revoke Article 50 altogether and remove the clock thus effectively returning the whole matter to the status quo ante But the people of England have not spoken yet Wales voted for Brexit, Scotland did not But England voted overwhelmingly for Brexit The political class are counting on ennui wearing down the Brexit 17 4 million by the passage of time and literally years of scaremongering Project Fear My own experience in the Midlands and the North (I spend my weekends in one or the other) suggests that this whole series of betrayals has hardened resolve rather than weakened it My own feeling is that the electorate will exact a terrible vengeance on the politicians when the time finally comes to face them And that if they fail even then, Britain and British democracy will never be the same again And I don t mean that in a good way A terrible beauty may be born",https://www.rt.com/op-ed/469574-boris-johnson-supreme-court-brexit/
"15 Aug, 2019",Epstein s death won t stop victims from chasing justice,"Mike Papantonio sits down with author and attorney Carissa Phelps to discuss what obstacles Jeffrey Epstein s sudden death brings to the case of his accusers Legal researcher Sarah Merced walks us through billionaire George Soros Open Society Foundation, which seeks to legalize prostitution worldwide Attorney Kim Adams breaks down the goals of End Child Prostitution and Trafficking (ECPAT), an organization that shines a spotlight on institutions like the hospitality industry for facilitating and even brokering the sexual exploitation of workers FOLLOWMike Papantonio onTwitter FOLLOWAmerica s Lawyer onFacebook PODCAST:https: //soundcloud com/rttv/sets/americas lawyer",https://www.rt.com/shows/americas-lawyer/466531-epstein-death-conspiracy-bias/
"25 Jul, 2019",EU Commission takes Hungary to court for criminalizing the helping of asylum seekers ,"The European Union executive on Thursday took Hungary to court over a law that makes it a crime to help asylum seekers The commission filed a case against Hungary at the EU s top court, the European Court of Justice in Luxembourg, over the law, which was passed last year The stopsoros legislation also enforces new restrictions on the right to claim asylum The Hungarian legislation curtails asylum applicants right to communicate with and be assisted by relevant national, international and non governmental organizations by criminalizing support to asylum applications, ùthe Commission said The court case could lead to hefty fines for Hungary, Reuters said",https://www.rt.com/newsline/465083-eu-commission-hungary-asylum/
"23 Jul, 2019",Trump deflects accusations he s built no wall & caved to open borders swamp,"US President Donald Trump is fighting back against charges that his build the wall bluster was all hot air as illegals continue to stream over the border which still lacks a wall and former supporters accuse him of going soft Protesting he d replaced a badly broken and dilapidated Barrier on the Southern Border ù with powerful new Walls, ù Trump was caught off guard by attacks from the Right after a report claiming he hadn t built a single mile of new border fence ù despite his central campaign promise of a big, beautiful wall ù hit Fox News and the front page of Drudge Report on Monday When we rip down and totally replace a badly broken and dilapidated Barrier on the Southern Border, something which cannot do the job, the Fake News Media gives us zero credit for building a new Wall We have replaced many miles of old Barrier with powerful new Walls! Just 51 miles of border fencing has been built since Trump took office 30 months ago, and the steel bollard fencing constructed during that time has merely replaced existing fencing in dilapidated designs, ù according to Customs and Border Protection This hasn t stopped Trump from claiming at campaign rallies that his administration has built a lot of ù the wall, or trying to convince his adoring public to swap their chants of build that wall ù for finish that wall, ù but the mission accomplished ù rhetoric has found few takers among Trump s base I guess@realDonaldTrumpis too chicken to call@DRUDGEa wacky nutjob pic twitter com/a5WApdv0dq Disaffected Trump voters took to Twitter toslamthe president for surrounding himself with mass immigration zealots ù and regular Republican Koch Brotherstypes ù George Soros loves it when he sees conservative Americans cheering for legal immigration, ù another usertweeted, invoking the favorite bogeyman of the Right Former Never Trumper Matt Schlapp to Trump Voters: Drop Dead! my business needs sky high levels of immigrationhttps: // tdotco /6ivg5EZfsZ The #Resistance couldn t miss an opportunity to get in a few kicks while Trump was down, mockinglyexplainingthe difference between replaced ù and built ù The only wall you ve built is the one between you and reality, ù one usertweeted A brief Twitter history of all Trump s lies about the wall: It s necessary It s effective It s easy Mexico will pay Americans should pay Other presidents wanted it It s concrete It s steel It s a fence It s a barrier It s already builtDid I miss anything? While Border Patrol sources cited in the Examiner blamed Democrats obstructionism for holding up funding for wall construction a fair point, given that they were willing to shut down the government for a month rather than cough up the $5 billion Trump had asked for to build the barrier or explained that it waseasier to rebuild existing wall segments than get permits for new construction, Twitter critics recalled a time not that long ago when Trump had promisedMexicowould pay for the wall Doesn t really have the same zing pic twitter com/GXcXfymuoK But perhaps the Wall is merely a state of mind The Trump administration unveiled an expanded expedited removal ù deportation policy on Monday that allows Immigration and Customs Enforcement officers to remove illegals arrested anywhere in the US without an immigration judge s approval, if they cannot show they ve been continuously living in the country for at least two years Expedited removal was previously limited only to illegals caught within 100 miles of the border who d been in the country for less than two weeks Illegal immigration is down a third since May, but June still saw about 100,000 migrants streaming across the border ù, ",https://www.rt.com/usa/464810-trump-border-wall-defend-nothing/
"6 Jul, 2019","Extreme weather events, indefinite detention approved, teach for America s charter school bias","Lee opens the show this week by bringing your attention to a rash of extreme weather events hitting the globe As the climate continues to change, we can expect to see more extreme versions of the extreme heat, extreme floods, and other extreme natural ùdisasters In the news, Lee covers Trump s historic expedition to North Korea, a creepy new anti war think tank created by George Soros and the Koch Brothers, a Supreme Court decision that backs up the wealthy by defending partisan gerrymandering, and much more Naomi Karavani tells us about a new technology being developed that claims it can identify aggression and therefore stop crimes Natalie McGill reports on how the nonprofit Teach For America serves as a direct pipeline to the charter school movement that is siphoning off tax dollars to underfunded public schools LIKERedacted Tonight atwww Facebook com/RedactedTonight FOLLOWRedacted Tonight at@RedactedTonightand@LeeCamp PODCASThttps: //soundcloud com/rttv/sets/redacted tonight",https://www.rt.com/shows/redacted-tonight-summary/463500-extreme-weather-indefinite-detention/
"5 Jul, 2019",Gangster mayors and oligarch s dirty money: Will former criminals hold on to power in Ukraine?,"As Ukraine braces for an early parliamentary vote, its political elites are desperately looking for ways to forge alliances that would be of benefit in the new political environment Some deals, however, look shadier than others While Ukraine s major political parties led by former President Petro Poroshenko and former Prime Minister Yulia Tymoshenko are preparing to face off, as well as the newly formed party of current President Volodymyr Zelensky, in a parliamentary election, some political figures with a long criminal history also want a piece of the pie One of the leaders of the newlyformed Opposition Bloc who made it to the top of its election list, Gennady Trukhanov, appears to have a particularly gruesome criminal history behind him Since 2014, Trukhanov has been the mayor of Odessa Ukraine s largest port and the third most populous city He is a political veteran who has been building his career in Ukraine s upper echelons of power for about a decade and a half Yet, his fine appearance hides the fact that he was once a member of a notorious gang which was allegedly involved in smuggling arms and drugs According to a 2018 BBCreport, the gang, which came into being in the 1990s, was linked to some particularly gruesome murders Trukhanov, who is involved in martial arts and has been thepresidentof the Ukraine National Thai Boxing Federation of Muay Thai since 2003, trained members of the gang in hand to hand combat and sniper shooting with high precision weapons, ùthe BBC said, citing data from Italian police A reportcompiledby Italian law enforcement in the late 1990s names Trukhanov as one of the leaders of the gang who had extensive contacts with Ukrainian law enforcement He was also said to enjoy close ties with another gang leader a notorious crime lord called Aleksandr Angert, aka Sasha Angel Angert was sentenced to 15 years in prison for premeditated murder in 1980, but was released 10 years later as he was allegedly suffering from stomach cancer, which, however, apparently did not stop him from taking a leading role in another gang along with Trukhanov Later, Angert, one of Odessa s most influential crime lords, moved to London, where he has lived ever since and allegedly moved from crime to business, dissolving his gangs However, he reportedlyretainedhis close ties with his now business partner Trukhanov The criminal turned mayor, meanwhile, apparently did not wipe the slate clean after moving away from gang activities A 2016reportby the Organized Crime and Corruption Reporting Project (OCCRP), citing the Panama Papers, revealed that the mayor owns an entire business empire in Ukraine controlled through offshore firms registered in the British Virgin Islands, which is actively involved in embezzlement and money laundering Another Opposition Bloc leader who found his way to the top of the election list is Gennady Kernes, the longstanding mayor of Kharkov For about two decades, he has ruled over the nation s second most populous city (almost 1 5 million people), also a large industrial and science center He managed to retain his post through a range of political cataclysms, from the 2004 Orange Revolution that brought Yushchenko to power, to the 2014 Maidan coup He has, however, a few skeletons in the closet According to an extensivereportpublished by an investigative media project called Criminal Ukraine the now respectable mayor started his career in the 1990s as a fraudster, whose gang ran several shady schemes Eventually, they decided to expand ùtheir business ùand move from fraud to blackmail and extortion Kernes gang was even suspected of murder at one point, but those charges were apparently not proven Eventually, Kernes (nicknamed Gepa) was arrested, but only sentenced to three years in prison, and was set free two years later due to active repentance ùFollowing his release, the future mayor turned to privatization and managed to obtain quite a number of assets in Kharkov, including factories and real estate, through shady schemes, eventually emerging as a wealthy businessman ù Later, he allegedly used his influence to exert pressure on his political rivals and to gag journalists who dared to mention his criminal past in their reports Kharkov Region is located right next to the tumultuous Eastern Ukrainian regions, parts of which refused to recognize Kiev s authority following the 2014 Maidan coup and declared themselves the Donetsk and Lugansk People s Republics (DPR and LPR) As Kiev still struggles to regain control over the rebellious Donbass republics, having people like Kernes and Trukhanov at the helm of the regional governments will hardly give it much legitimacy in the eyes of the people there Other Ukrainian media reports suggest that Kernes enjoys close ties to controversial Ukrainian billionaire Igor Kolomoisky, who is suspected by some of being the real puppet master behind Zelensky s recent landslide victory in the presidential election KernesvisitedKolomoisky in Israel ahead of the presidential runoff, according to one such report The billionaire dismissed the idea of any hidden agenda ùbehind the trip, telling the media that Kernes went to Israel for medical reasons ùand met him by coincidence Kolomoisky, an oligarch who made a fortune during the privatization frenzy in the years after the collapse of the Soviet Union, might yet turn out to be the one pulling the strings in the newly formed political bloc A sort of Ukrainian George Soros, Kolomoisky gained a reputation of being a shadowy figure seeking to influence politics Unlike Soros, he does not seem to have any particular ideological preference Instead, he apparently tries to place his millions on the winning horse Over the last decade and a half, he has supported the Orange Revolution, former President Viktor Yushchenko, and then Prime Minister Yulia Tymoshenko He attained particular infamy in the wake of the Maidan coup, when he created his own paramilitary force bysponsoringanti Russia battalions Kolomoisky initially financed the notorious ultranationalist Azov Battalion for months in 2014 He is now reportedly one of the major backers of the Opposition Bloc He does not really hide this fact either In May, headmittedhe was consulting ùthe party created by Trukhanov and Kernes, which he called an All Ukrainian project ùHe also held talks with a leader of another party that eventually joined the bloc We have common issues The commercial and political ones, ùhe told Ukrainian Pravda back then, adding that some unsuccessful projects need a reboot ùThe billionaire specifically mentioned aligning ùforces and creating a broader ùagenda as a recipe for moving forward Kernes then rushed todownplaythe oligarch s influence on his party by saying that he neither financed nor consulted ùthe party, while calling his contacts with Kolomoisky a private matter ù As Zelensky s presidential victory clearly shows that Ukrainians have grown tired of the old political ways, tainted by corrupt elites linked to organized crime, he has apparently embraced the idea of rebranding and renewal at least on the surface Whether the dark past will still loom over the bright future they claim to offer remains to be seen ",https://www.rt.com/news/463480-ukraine-criminals-political-power-retain/
"25 Jun, 2019",Soros & US billionaires call for new wealth tax; public reacts with instinctive skepticism,"A group of US billionaires including infamous financier George Soros is backing a moderate wealth tax on the fortunes of the richest 01%, echoing several Democratic candidates proposals Somehow, Americans don t trust them Polls show that a moderate tax on the wealthiest Americans enjoys the support of a majority of Americans Republicans, Independents, and Democrats, the group of 20 billionaires, including Soros, his son Alexander, the Pritzker, Gund, and Disney families, and the elusive Anonymous, wrote in aletterpublished by the New York Times on Monday While acknowledging that major policies seldom come to pass without the prior support of wealthy elites or other wealthy interests, the billionaires made the case that taxing the rich would benefit everyone by bankrolling solutions to our climate crisis, infrastructure improvements, public health solutions, and wiping out student loan debt Why, it would even strengthen American freedom and democracy, the billionaires gush A tax of $ 02 per dollar on assets over $50 million and an additional $ 01 per dollar on assets over $1 billion would generate nearly $3 trillion in tax revenue over ten years, the would be philanthropists report, lending their endorsement to Democratic presidential candidate Elizabeth Warren s wealth tax plan while denying they back her or any of the other wealth tax supporting Democrats they name in the letter And while they name check Pete Buttigieg and Beto O Rourke as backing the policy too important to be part of only a few candidates platforms, they explicitly avoid mentioning Bernie Sanders The letter s publication on the same day Sanders proposed paying for the cancellation of $1 6 trillion in student loan debt with taxes on stock trades, bonds, and derivatives i e Wall Street transactions that can t be hidden in offshore bank accounts, donated to family charities, or otherwise concealed via the tried and true methods of America s richest families in his College for All Act may have been a coincidence, but his omission from the approved candidate list struck some people as odd Nor is Alexandria Ocasio Cortez s suggestion of walloping a larger swath of America s wealthiest anyone earning over $10 million annually with a 70 percent tax rate mentioned You do know you re free to stop taking all those tax write offs and also free to write the govt a big, fat check this very minute? IRS even has a handy address to send it to You do know that? Nearly every social media response was suspicious of the billionaires motives, sincerity, or both Reasoning there s no such thing as a free lunch, or free money, they pointed out that Soros and his ilk didn t get fabulously wealthy by helping the less fortunate As several Twitter users pointed out, nothing is stopping Soros and his peers from overpaying their taxes now, and why would wealthy families that have avoided paying their fair share of every other tax choose to pay this one? Plug the loopholes and find the money that they ve stashed in family trusts and in countries hidden from taxes, one usersuggested Soros, like many of the world s superrich, donated $18 billion to his own Open Society Foundation in 2017, leaving him with only $8 billion to his name, and other hugely wealthy families from the Rockefellers to the Rothschilds have similarly spread their money around in self directed foundations and charities We don t need a wealth tax, we just need them to pay their fair share like the rest of us do Others focused more on their distrust for Soros, whose political meddling on behalf of left wing causes has earned him the hatred of conservatives and whose history of currency manipulation (not for nothing is he called the man who broke the Bank of England ) has earned him the distrust of everyone else Stop using taxes to control the people, one useradmonishedhim, while anothersnarked If you believe this guy, he s probably got a bridge in Brooklyn to sell you U don t need permission to pay more taxes Spooky Dude who wants to destroy our country Former Obama Secretary of Labor Robert Reich was one of the only voices supporting the billionaires plan, tweeting that he couldn t agree more with the idea that a wealth tax is patriotic †Othersqualifiedtheir support by pointing out that this was an intelligent move on behalf of the wealthy if they don t want capitalism to devour itself within the next 20 years Personally, I m investing in guillotines Seems like a growth market ",https://www.rt.com/usa/462606-soros-wealth-tax-billionaires-distrust/
"24 May, 2019",West backed think tanks threaten new Ukrainian president with disturbing list of RED LINES ,"When President Volodymyr Zelensky won a landslide victory in the free and undisputed April elections, most accepted that he was given a fairly strong mandate to lead Ukraine But it seems not everyone is so democratically minded Particularly unmoved by the democratic process are a collection of Ukrainian civil society groups, who have just issued alengthy listof red lines not to be crossed ùby the new president, lest he risk provoking a new wave of political instability that they would presumably instigate Issuing their catalog of demands on Thursday, the groups claim to be politically neutral ùbut deeply concerned ùabout the first actions taken by the comedian turned politician Zelensky, including his decision to appoint members of former President Viktor Yanukovych s government to positions within his own government Various civil society groups in#Ukrainehave issued a list of red lines that they don t want president@ZelenskyyUato cross, saying there ll be unrest if he does It s the longest list of red lines I ve ever seen Twittosphere, what do you make of it?https: // tdotco /jgHAIIAciS A scan of the undersigned reveals that many of these civil society groups ùare anything but politically neutral In fact, quite a few of them are partly funded by the US government, various EU governments (including the UK), the European Commission itself and, of course, the omnipresent liberal billionaire George Soros The list includes the notorious Euromaidan Press, Stop Fake and Ukrainian Crisis Media Center, to name just a few In their heyday, many of these groups acted as propaganda tools of the Western backed government of Petro Poroshenko, rather than the watchdogs they claim to be They now confirm that a pesky election isn t going to stand in the way of their agenda, reaffirming that their own principles and positions ùon issues remain unchanged and warning: Should [Zelensky] cross these red lines, such actions will inevitably lead to political instability in our country This statement, which precedes the wide ranging list of red lines, reads like a threat: Do what we say, or there will be trouble Isn t that a strange, almost dictatorial approach for groups purporting to be interested in democracy, freedom, and dignity ù?Did we all miss the part where a group of think tanks were collectively elected president of Ukraine? This list of demands by western funded Ukraine NGOs îthreatening to overthrow Zelenskiy if he doesn t follow their demands îperfect example of Arundhati Roy s critique of civil society as an elite construct designed to subvert & control popular democracyhttps: // tdotco /j33iGoSqOA Of course, these groups do indeed represent various factions of Ukrainian society and many of them no doubt have worthy aims, and they should continue their work unimpeded But they do not represent all of Ukrainian society and they certainly do not have the authority to set the political agenda and lay down the law to the incoming government and that, quite literally, is what they are trying to do It s such a gobsmackingly odd list of demands that even Western journalists who had a broadly friendly relationship with the Poroshenko government are aghast at their audacity The list is broken down into issues of security, foreign policy, economy, national identity (language, education and culture), media and government functioning On security, the groups want to forbid Zelensky from achieving compromise with Russia in any manner that would be to the detriment of the national interest, presumably as defined by themselves Inhibiting the implementation of security and defense policies outlined in a 2016 decree signed by Poroshenko is also forbidden, they say do these cronies not know how democracy works, or just not care? Three quarters of the country voted against their agenda they don t get to continue setting it like the election never happened In the foreign policy realm, these audacious activists warn that democratically elected Zelensky may not initiate any actions that could lead to the reduction or lifting of sanctions on Russia by Western powers He may not take any action delaying, sabotaging, or rejecting the course for EU and NATO membership for Ukraine Where the economy is concerned, he may not implement any policy that goes against existing agreements with the IMF and other foreign partners It s on the national identity front that things get really sketchy, though The groups would like to forbid any attempt whatsoever to even review ù multiple controversial laws signed by Poroshenko, including an anti Russia language law (which effectively alienates the 30 percent of Ukrainians who speak Russian as their native tongue) and laws on contentious de communization ù which banned Soviet symbols in the country Ironically, this push for de communization coincided with a renewed glorification of Nazism that went almost unnoticed by Western media and officials, who have supported Poroshenko s virulently anti Russian government as it implemented laws better suited to George Orwell s 1984 than a modern democracy The NGOs ùinsist that Zelensky may not implement any action to support the Russian Orthodox Church in Ukraine, another red line among their national identity demands Remember when Russian television channels and social networks like VKontakte were banned in Ukraine simply for the crime of being Russian? Well, Zelensky will also be in big trouble if he tries to restore them, the civil society groups ùsay READ MORE: Reality bites: Ukraine s President Zelensky puts showbiz pals in positions of real power The most vague red line of all comes near the end of the list, when the new president is warned against ignoring dialogue with civil society ù a command so vague that almost anything ùZelensky does going forward could be interpreted as ignoring their wishes, France 24 correspondent Gulliver Cragg wrote on Twitter BBC correspondent Jonah Fisher tweeted that the groups themselves may have crossed a red line †the red line of what civil society groups can legitimately demand of a freshly elected government I feel like almost anything he does could be interpreted as crossing one or other of those lines, they re so wide ranging It reads like a manifesto there s an election in 2 months Make a party see if anyone agrees with you that s democracy Zelensky was elected to office with 73 percent of the vote and let s not forget, he won that election having campaigned against many of the policies these civil society groups are aggressively demanding be kept in place He has been in office only a matter of days, and these Western backed groups are threatening to instigate political unrest should he take any action that they don t find acceptable to their political agenda So who, exactly, poses the real threat to democracy? Danielle Ryan Danielle Ryan is an Irish freelance writer based in Dublin Follow her on Twitter@DanielleRyanJ ù, ",https://www.rt.com/news/460210-ukraine-ngos-zelensky-red-lines/
"9 May, 2019","Danish right wingers recruit controversial candidates, as country gets ready for elections","The rise of the right wing in Europe may be a tired cliche at this point However, a new Danish party has courted fresh controversy for hiring some distinctly un PC candidates, as the country goes to the polls next month Stram Kurs (Hard Line) will run for election for the first time in June The party pushes a combined message of small government libertarianism and ethnonationalist utilitarianism ùThe latter translates as a ban on Islam, an immediate withdrawal from refugee conventions, and the deportation of all asylum seekers and any non western persons ù The party also favors a crackdown on Danes who help alien enemies undermine Denmark, ùpresumably charities and NGOs Hungary s Viktor Orban spearheaded a similar crackdown with his stopsoros Act last year Party leader Rasmus Paludan has drawn attention to himself with a number of high profile stunts, like leading protest marches through Muslim ghettos, burning copies of the Koran, and encouraging his followers to draw pictures of the prophet Mohammed Prime Minister Lars L√∏kke Ramussen has condemned Paludan s publicity stunts as meaningless provocations ù Although anti immigration and nationalist parties have gained ground in nearly 20 European countries since the beginning of the refugee crisis in 2015, no mainstream organizations have dared call themselves ethnonationalist ùPerhaps the closest mainstream analog to Stram Kurs is Dutch firebrand Geert Wilders Partij voor Vrijheid (Party for Freedom or PVV) Like Stram Kurs, the PVV s policies focus almost entirely on the de Islamization ùof the Netherlands, coupled with a smattering of small government and tax cutting initiatives Like Wilders, Paludan has faced legal consequences for his speech, having been handed a 14 day jail sentence in April for alleged racism towards a spokeswoman for the Black Lives Matter movement Unlike Stram Kurs, the PVV has been a viable opposition party in the Dutch parliament for over a decade, and is currently the second largest party in the Netherlands Stram Kurs, meanwhile, ispollingat just over two percent, beating only the country s Christian Democrats and businessman Klaus Risk√¶r Pedersen s self titled party Still, the party has punched above its weight when it comes to grabbing newspaper headlines On Wednesday, Paludan announced that 81 year old professor Helmuth Nyborg will stand for election with Stram Kurs Paludan said that Nyborg is an internationally highly respected researcher ùon IQ and cognitive ability Opponents say Nyborg s †opinions on racial IQ differences are abhorrent It goes without saying that if many people come to Denmark from countries where the inhabitants have a lower intelligence quotient, then over time we get a lower average intelligence quotient, ùhe told the Jyllands Posten newspaper in 2010 Modern Finnish research shows countries with an IQ averaging less than 90 fail to create or maintain democracy This explains why any attempt to bring democracy to countries with low IQ are doomed to failure We can learn from Libya, Afghanistan & Iraq writes Helmuth Nyborg Nyborg s views and scientific background lend weight to an argument Paludan has made since he entered politics in 2017 The average in IQ in Somalians is much lower than in us, ùPaludan told Ekstra Bladet last year It does not make them subordinates that on average they have poorer brains than Danes There is just a difference between races and there is no need to lie about it There are many from Africa who do not understand very much because their IQ is 80 ù Nyborg s views are controversial, and the professor is currently facing academic discipline for a 2013 paper setting out those views entitled The Decay of Western Civilization However, African and Middle Eastern countries have been ranked at thebottomof IQ tables, and some researchers have pinned thedifferenceon race and genetics, albeit under intense criticism How receptive is Denmark to an open ethnonationalist party that embraces controversial figures like Professor Nyborg? The answer is probably somewhat Unlike its uber liberal neighbor Sweden, Denmark has reacted to the influx of refugees and migrants with increasing hostility The coalition government made up of the center right Venstre and further right Danish People s Party has passed laws requiring refugees to hand over jewelry and valuables to finance their stay, banned the burqa in public, and planned to ship rejected asylum seekers to an uninhabited island in the Baltic sea If you are unwanted in Danish society, you should not be a nuisance to ordinary Danes, ù Immigration Minister Inger St√∏jberg stated when announcing the island plan They are undesirable in Denmark and they must feel it! ù St√∏jberg has been a key author of her government s anti immigration policies In March 2018, she marked the passing of her 50th anti immigration measure by celebrating with a cake decorated with fruit, the Danish flag, and the number 50 #DanishMinister for#Integration(!) Inger#St√∏jbergis celebrating her 50th tightening of#immigrationrules #classy#trumpingtrumppic twitter com/fD8sTRFUpU The government has also targeted settled immigrants, who it says often live in parallel societies ùLast July, as part of a series of measures aimed at eradicating immigrant ghettos, the government announced tougher criminal penalties, lower benefits, and mandatory integration classes for those living in these neighborhoods Despite the anti immigrant sentiment coming from the Danish government, voters are not so sure The center left Social Democrats are leading in the polls at 25 percent, compared to Venstre s 20 percent and the Danish People s Party s 11 6 percent The Social Democrats have begun to move further right on immigration, and as a result could have plenty of coalition forming opportunities open with the center and center right parties As long as Stram Kurs manage to capture more than two percent of the vote, the party looks set to enter parliament for the first time next month In the runup to the election, the newcomers could push the existing right wing even further right as nationalist party Vox did in Spain recently or siphon the hardline vote away from the Danish People s Party Such a fragmentation of the right was also seen in Spain last month, and ultimately helped left wing Prime Minister Pedro Sanchez party consolidate its power in parliament Meanwhile, Paludan and Stram Kurs continue to grab column inches The party also took on board as a candidate a prison guard who Paludan said can offer professional knowledge of the consequences of immigration ù As Paludan builds his anti immigration dream team, next month s elections will reveal whether the Danish electorate still wants to continue the country s rightward shift Asylum applications in Denmark dropped by 84 percent between 2015 and 2018, and without a cohort of immigrants to rail against, a return to centrism is not unlikely ù, ",https://www.rt.com/news/458862-denmark-far-right-election/
